benchmark,generation
DougChaffee,"SELECT uuid FROM cards WHERE artist = ""Doug Chaffee"""
FrancisTsai,"SELECT uuid FROM cards WHERE artist = ""Francis Tsai"""
JeffMiracola,"SELECT uuid FROM cards WHERE artist = ""Jeff Miracola"""
JohnZeleznik,"SELECT uuid FROM cards WHERE artist = ""John Zeleznik"""
LucioParrillo,"SELECT uuid FROM cards WHERE artist = ""Lucio Parrillo"""
NickPercival,"SELECT uuid FROM cards WHERE artist = ""Nick Percival"""
TristanElwell,"SELECT uuid FROM cards WHERE artist = ""Tristan Elwell"""
JeffEasley,"SELECT uuid FROM cards WHERE artist = ""Jeff Easley"""
LarryElmore,"SELECT uuid FROM cards WHERE artist = ""Larry Elmore"""
MikeDringenberg,"SELECT uuid FROM cards WHERE artist = ""Mike Dringenberg"""
SteveLuke,"SELECT uuid FROM cards WHERE artist = ""Steve Luke"""
MikePloog,"SELECT uuid FROM cards WHERE artist = ""Mike Ploog"""
GlenAngus,"SELECT uuid FROM cards WHERE artist = ""Glen Angus"""
JeffreyRBusch,"SELECT uuid FROM cards WHERE artist = ""Jeffrey R. Busch"""
TimHildebrandt,"SELECT uuid FROM cards WHERE artist = ""Tim Hildebrandt"""
DanaKnutson,"SELECT uuid FROM cards WHERE artist = ""Dana Knutson"""
DaveKendall,"SELECT uuid FROM cards WHERE artist = ""Dave Kendall"""
WilliamOConnor,"SELECT uuid FROM cards WHERE artist = ""William O'Connor"""
HannibalKing,"SELECT uuid FROM cards WHERE artist = ""Hannibal King"""
TomFleming,"SELECT uuid FROM cards WHERE artist = ""Tom Fleming"""
RichardWright,"SELECT uuid FROM cards WHERE artist = ""Richard Wright"""
ToddLockwood,"SELECT uuid FROM cards WHERE artist = ""Todd Lockwood"""
EricPeterson,"SELECT uuid FROM cards WHERE artist = ""Eric Peterson"""
NelsonDeCastro,"SELECT uuid FROM cards WHERE artist = ""Nelson DeCastro"""
MarkBrill,"SELECT uuid FROM cards WHERE artist = ""Mark Brill"""
AnsonMaddocks,"SELECT uuid FROM cards WHERE artist = ""Anson Maddocks"""
SteveFirchow,"SELECT uuid FROM cards WHERE artist = ""Steve Firchow"""
DanyOrizio,"SELECT uuid FROM cards WHERE artist = ""Dany Orizio"""
JonFoster,"SELECT uuid FROM cards WHERE artist = ""Jon Foster"""
VanceKovacs,"SELECT uuid FROM cards WHERE artist = ""Vance Kovacs"""
NilsHamm,"SELECT uuid FROM cards WHERE artist = ""Nils Hamm"""
AndrewGoldhawk,"SELECT uuid FROM cards WHERE artist = ""Andrew Goldhawk"""
MichaelKoelsch,"SELECT uuid FROM cards WHERE artist = ""Michael Koelsch"""
MichaelKomarck,"SELECT uuid FROM cards WHERE artist = ""Michael Komarck"""
WayneReynolds,"SELECT uuid FROM cards WHERE artist = ""Wayne Reynolds"""
UnaFricker,"SELECT uuid FROM cards WHERE artist = ""Una Fricker"""
SteveWhite,"SELECT uuid FROM cards WHERE artist = ""Steve White"""
RichardThomas,"SELECT uuid FROM cards WHERE artist = ""Richard Thomas"""
DouglasShuler,"SELECT uuid FROM cards WHERE artist = ""Douglas Shuler"""
DanFrazier,"SELECT uuid FROM cards WHERE artist = ""Dan Frazier"""
AmyWeber,"SELECT uuid FROM cards WHERE artist = ""Amy Weber"""
JesperMyrfors,"SELECT uuid FROM cards WHERE artist = ""Jesper Myrfors"""
JeffAMenges,"SELECT uuid FROM cards WHERE artist = ""Jeff A. Menges"""
JulieBaroh,"SELECT uuid FROM cards WHERE artist = ""Julie Baroh"""
DameonWillich,"SELECT uuid FROM cards WHERE artist = ""Dameon Willich"""
SandraEveringham,"SELECT uuid FROM cards WHERE artist = ""Sandra Everingham"""
DrewTucker,"SELECT uuid FROM cards WHERE artist = ""Drew Tucker"""
DanielGelon,"SELECT uuid FROM cards WHERE artist = ""Daniel Gelon"""
QuintonHoover,"SELECT uuid FROM cards WHERE artist = ""Quinton Hoover"""
KevBrockschmidt,"SELECT uuid FROM cards WHERE artist = ""Kev Brockschmidt"""
MelissaABenson,"SELECT uuid FROM cards WHERE artist = ""Melissa A. Benson"""
AndiRusu,"SELECT uuid FROM cards WHERE artist = ""Andi Rusu"""
CorneliusBrudi,"SELECT uuid FROM cards WHERE artist = ""Cornelius Brudi"""
TomWnerstrand,"SELECT uuid FROM cards WHERE artist = ""Tom Wänerstrand"""
FayJones,"SELECT uuid FROM cards WHERE artist = ""Fay Jones"""
SusanVanCamp,"SELECT uuid FROM cards WHERE artist = ""Susan Van Camp"""
KajaFoglio,"SELECT uuid FROM cards WHERE artist = ""Kaja Foglio"""
NNThomas,"SELECT uuid FROM cards WHERE artist = ""NéNé Thomas"""
MargaretOrganKean,"SELECT uuid FROM cards WHERE artist = ""Margaret Organ-Kean"""
KenMeyerJr,"SELECT uuid FROM cards WHERE artist = ""Ken Meyer, Jr."""
JustinHampton,"SELECT uuid FROM cards WHERE artist = ""Justin Hampton"""
KerstinKaman,"SELECT uuid FROM cards WHERE artist = ""Kerstin Kaman"""
HaroldMcNeill,"SELECT uuid FROM cards WHERE artist = ""Harold McNeill"""
RandyAsplundFaith,"SELECT uuid FROM cards WHERE artist = ""Randy Asplund-Faith"""
EdwardPBeardJr,"SELECT uuid FROM cards WHERE artist = ""Edward P. Beard, Jr."""
MikeKimble,"SELECT uuid FROM cards WHERE artist = ""Mike Kimble"""
DennisDetwiller,"SELECT uuid FROM cards WHERE artist = ""Dennis Detwiller"""
PhilFoglio,"SELECT uuid FROM cards WHERE artist = ""Phil Foglio"""
KajaFoglioPhilFoglio,"SELECT uuid FROM cards WHERE artist = ""Kaja Foglio & Phil Foglio"""
MarkANelson,"SELECT uuid FROM cards WHERE artist = ""Mark A. Nelson"""
Nottsuo,"SELECT uuid FROM cards WHERE artist = ""Nottsuo"""
DavidMartin,"SELECT uuid FROM cards WHERE artist = ""David Martin"""
TonySzczudlo,"SELECT uuid FROM cards WHERE artist = ""Tony Szczudlo"""
TomasGiorello,"SELECT uuid FROM cards WHERE artist = ""Tomas Giorello"""
GeorgePratt,"SELECT uuid FROM cards WHERE artist = ""George Pratt"""
GaryLeach,"SELECT uuid FROM cards WHERE artist = ""Gary Leach"""
StuartGriffin,"SELECT uuid FROM cards WHERE artist = ""Stuart Griffin"""
CharlesGillespie,"SELECT uuid FROM cards WHERE artist = ""Charles Gillespie"""
RichardKaneFerguson,"SELECT uuid FROM cards WHERE artist = ""Richard Kane Ferguson"""
IanMiller,"SELECT uuid FROM cards WHERE artist = ""Ian Miller"""
ZakPlucinski,"SELECT uuid FROM cards WHERE artist = ""Zak Plucinski"""
DougKeith,"SELECT uuid FROM cards WHERE artist = ""Doug Keith"""
JanineJohnston,"SELECT uuid FROM cards WHERE artist = ""Janine Johnston"""
AdrianSmith,"SELECT uuid FROM cards WHERE artist = ""Adrian Smith"""
AllenWilliams,"SELECT uuid FROM cards WHERE artist = ""Allen Williams"""
AlanRabinowitz,"SELECT uuid FROM cards WHERE artist = ""Alan Rabinowitz"""
DavidSeeley,"SELECT uuid FROM cards WHERE artist = ""David Seeley"""
JohnCoulthart,"SELECT uuid FROM cards WHERE artist = ""John Coulthart"""
DavidOConnor,"SELECT uuid FROM cards WHERE artist = ""David O'Connor"""
GerryGrace,"SELECT uuid FROM cards WHERE artist = ""Gerry Grace"""
ClintLangley,"SELECT uuid FROM cards WHERE artist = ""Clint Langley"""
AndrewRobinson,"SELECT uuid FROM cards WHERE artist = ""Andrew Robinson"""
MikeRaabe,"SELECT uuid FROM cards WHERE artist = ""Mike Raabe"""
JamesAllen,"SELECT uuid FROM cards WHERE artist = ""James Allen"""
JerryTiritilli,"SELECT uuid FROM cards WHERE artist = ""Jerry Tiritilli"""
