benchmark,generation
FilipBurburan,"SELECT uuid FROM cards WHERE artist = ""Filip Burburan"""
JaimeJones,"SELECT uuid FROM cards WHERE artist = ""Jaime Jones"""
DarekZabrocki,"SELECT uuid FROM cards WHERE artist = ""Darek Zabrocki"""
LakeHurwitz,"SELECT uuid FROM cards WHERE artist = ""Lake Hurwitz"""
LiusLasahido,"SELECT uuid FROM cards WHERE artist = ""Lius Lasahido"""
DeruchenkoAlexander,"SELECT uuid FROM cards WHERE artist = ""Deruchenko Alexander"""
KirstenZirngibl,"SELECT uuid FROM cards WHERE artist = ""Kirsten Zirngibl"""
ChristopherBurdett,"SELECT uuid FROM cards WHERE artist = ""Christopher Burdett"""
RaoulVitale,"SELECT uuid FROM cards WHERE artist = ""Raoul Vitale"""
RaymondSwanland,"SELECT uuid FROM cards WHERE artist = ""Raymond Swanland"""
EytanZana,"SELECT uuid FROM cards WHERE artist = ""Eytan Zana"""
MathiasKollros,"SELECT uuid FROM cards WHERE artist = ""Mathias Kollros"""
DanielLjunggren,"SELECT uuid FROM cards WHERE artist = ""Daniel Ljunggren"""
ShreyaShetty,"SELECT uuid FROM cards WHERE artist = ""Shreya Shetty"""
TommyArnold,"SELECT uuid FROM cards WHERE artist = ""Tommy Arnold"""
MikeBierek,"SELECT uuid FROM cards WHERE artist = ""Mike Bierek"""
SungChoi,"SELECT uuid FROM cards WHERE artist = ""Sung Choi"""
SamBurley,"SELECT uuid FROM cards WHERE artist = ""Sam Burley"""
AdrianMajkrzak,"SELECT uuid FROM cards WHERE artist = ""Adrian Majkrzak"""
IgorKieryluk,"SELECT uuid FROM cards WHERE artist = ""Igor Kieryluk"""
MarkBehm,"SELECT uuid FROM cards WHERE artist = ""Mark Behm"""
FloriandeGesincourt,"SELECT uuid FROM cards WHERE artist = ""Florian de Gesincourt"""
LindseyLook,"SELECT uuid FROM cards WHERE artist = ""Lindsey Look"""
JosuHernaiz,"SELECT uuid FROM cards WHERE artist = ""Josu Hernaiz"""
DavidGaillet,"SELECT uuid FROM cards WHERE artist = ""David Gaillet"""
MarcoNelor,"SELECT uuid FROM cards WHERE artist = ""Marco Nelor"""
MikeBurns,"SELECT uuid FROM cards WHERE artist = ""Mike Burns"""
YohannSchepacz,"SELECT uuid FROM cards WHERE artist = ""Yohann Schepacz"""
DaveAllsop,"SELECT uuid FROM cards WHERE artist = ""Dave Allsop"""
MichaelRyan,"SELECT uuid FROM cards WHERE artist = ""Michael Ryan"""
SalVillagran,"SELECT uuid FROM cards WHERE artist = ""Sal Villagran"""
AnthonyFrancisco,"SELECT uuid FROM cards WHERE artist = ""Anthony Francisco"""
ColeEastburn,"SELECT uuid FROM cards WHERE artist = ""Cole Eastburn"""
JeanSbastienRossbach,"SELECT uuid FROM cards WHERE artist = ""Jean-Sébastien Rossbach"""
MarkHyzer,"SELECT uuid FROM cards WHERE artist = ""Mark Hyzer"""
AndrewMurray,"SELECT uuid FROM cards WHERE artist = ""Andrew Murray"""
DanSeagrave,"SELECT uuid FROM cards WHERE artist = ""Dan Seagrave"""
TrevorHairsine,"SELECT uuid FROM cards WHERE artist = ""Trevor Hairsine"""
DominickDomingo,"SELECT uuid FROM cards WHERE artist = ""Dominick Domingo"""
PaulBonner,"SELECT uuid FROM cards WHERE artist = ""Paul Bonner"""
MichaelBruinsma,"SELECT uuid FROM cards WHERE artist = ""Michael Bruinsma"""
MitchCotie,"SELECT uuid FROM cards WHERE artist = ""Mitch Cotie"""
JoshuaHagler,"SELECT uuid FROM cards WHERE artist = ""Joshua Hagler"""
AshWood,"SELECT uuid FROM cards WHERE artist = ""Ash Wood"""
JarreauWimberly,"SELECT uuid FROM cards WHERE artist = ""Jarreau Wimberly"""
ShellyWan,"SELECT uuid FROM cards WHERE artist = ""Shelly Wan"""
LawrenceSnelly,"SELECT uuid FROM cards WHERE artist = ""Lawrence Snelly"""
BryonWackwitz,"SELECT uuid FROM cards WHERE artist = ""Bryon Wackwitz"""
ZakPlucinskiDAlexanderGregory,"SELECT uuid FROM cards WHERE artist = ""Zak Plucinski & D. Alexander Gregory"""
BillSienkiewicz,"SELECT uuid FROM cards WHERE artist = ""Bill Sienkiewicz"""
DianaVick,"SELECT uuid FROM cards WHERE artist = ""Diana Vick"""
DenmanRooke,"SELECT uuid FROM cards WHERE artist = ""Denman Rooke"""
JPTargete,"SELECT uuid FROM cards WHERE artist = ""J.P. Targete"""
CaioMonteiro,"SELECT uuid FROM cards WHERE artist = ""Caio Monteiro"""
EvenAmundsen,"SELECT uuid FROM cards WHERE artist = ""Even Amundsen"""
AntonioJosManzanedo,"SELECT uuid FROM cards WHERE artist = ""Antonio José Manzanedo"""
LieSetiawan,"SELECT uuid FROM cards WHERE artist = ""Lie Setiawan"""
ChrisSeaman,"SELECT uuid FROM cards WHERE artist = ""Chris Seaman"""
ColinBoyer,"SELECT uuid FROM cards WHERE artist = ""Colin Boyer"""
TereseNielsenThomasMBaxa,"SELECT uuid FROM cards WHERE artist = ""Terese Nielsen & Thomas M. Baxa"""
RichardWhitters,"SELECT uuid FROM cards WHERE artist = ""Richard Whitters"""
PaulLee,"SELECT uuid FROM cards WHERE artist = ""Paul Lee"""
ChuckLukacs,"SELECT uuid FROM cards WHERE artist = ""Chuck Lukacs"""
AustinHsu,"SELECT uuid FROM cards WHERE artist = ""Austin Hsu"""
DavidDay,"SELECT uuid FROM cards WHERE artist = ""David Day"""
IanEdwardAmeling,"SELECT uuid FROM cards WHERE artist = ""Ian Edward Ameling"""
KristenBishop,"SELECT uuid FROM cards WHERE artist = ""Kristen Bishop"""
MichaelCHayes,"SELECT uuid FROM cards WHERE artist = ""Michael C. Hayes"""
CynthiaSheppard,"SELECT uuid FROM cards WHERE artist = ""Cynthia Sheppard"""
SamWolfeConnelly,"SELECT uuid FROM cards WHERE artist = ""Sam Wolfe Connelly"""
NicKlein,"SELECT uuid FROM cards WHERE artist = ""Nic Klein"""
GaborSzikszai,"SELECT uuid FROM cards WHERE artist = ""Gabor Szikszai"""
BudCook,"SELECT uuid FROM cards WHERE artist = ""Bud Cook"""
UriahVoth,"SELECT uuid FROM cards WHERE artist = ""Uriah Voth"""
JoeSlucher,"SELECT uuid FROM cards WHERE artist = ""Joe Slucher"""
EsadRibic,"SELECT uuid FROM cards WHERE artist = ""Esad Ribic"""
SamRowan,"SELECT uuid FROM cards WHERE artist = ""Sam Rowan"""
DmitryBurmak,"SELECT uuid FROM cards WHERE artist = ""Dmitry Burmak"""
SuzanneHelmigh,"SELECT uuid FROM cards WHERE artist = ""Suzanne Helmigh"""
JamesZapata,"SELECT uuid FROM cards WHERE artist = ""James Zapata"""
CarmenSinek,"SELECT uuid FROM cards WHERE artist = ""Carmen Sinek"""
LiviaPrima,"SELECT uuid FROM cards WHERE artist = ""Livia Prima"""
MitchellMalloy,"SELECT uuid FROM cards WHERE artist = ""Mitchell Malloy"""
DallasWilliams,"SELECT uuid FROM cards WHERE artist = ""Dallas Williams"""
BayardWu,"SELECT uuid FROM cards WHERE artist = ""Bayard Wu"""
AlexKonstad,"SELECT uuid FROM cards WHERE artist = ""Alex Konstad"""
ManuelCastan,"SELECT uuid FROM cards WHERE artist = ""Manuel Castañón"""
VroniqueMeignaud,"SELECT uuid FROM cards WHERE artist = ""Véronique Meignaud"""
RyanBarger,"SELECT uuid FROM cards WHERE artist = ""Ryan Barger"""
AlejandroMirabal,"SELECT uuid FROM cards WHERE artist = ""Alejandro Mirabal"""
AndreasRocha,"SELECT uuid FROM cards WHERE artist = ""Andreas Rocha"""
TianhuaX,"SELECT uuid FROM cards WHERE artist = ""Tianhua X"""
RobbieTrevino,"SELECT uuid FROM cards WHERE artist = ""Robbie Trevino"""
ChrisAppelhans,"SELECT uuid FROM cards WHERE artist = ""Chris Appelhans"""
Shishizaru,"SELECT uuid FROM cards WHERE artist = ""Shishizaru"""
TsutomuKawade,"SELECT uuid FROM cards WHERE artist = ""Tsutomu Kawade"""
CaraMitten,"SELECT uuid FROM cards WHERE artist = ""Cara Mitten"""
KeithGarletts,"SELECT uuid FROM cards WHERE artist = ""Keith Garletts"""
JiYong,"SELECT uuid FROM cards WHERE artist = ""Ji Yong"""
KuXueming,"SELECT uuid FROM cards WHERE artist = ""Ku Xueming"""
JeffLaubenstein,"SELECT uuid FROM cards WHERE artist = ""Jeff Laubenstein"""
HeJiancheng,"SELECT uuid FROM cards WHERE artist = ""He Jiancheng"""
MartinMcKenna,"SELECT uuid FROM cards WHERE artist = ""Martin McKenna"""
JanetAulisio,"SELECT uuid FROM cards WHERE artist = ""Janet Aulisio"""
EricDavidAnderson,"SELECT uuid FROM cards WHERE artist = ""Eric David Anderson"""
BryanTalbot,"SELECT uuid FROM cards WHERE artist = ""Bryan Talbot"""
MWKalutaDiTerlizzi,"SELECT uuid FROM cards WHERE artist = ""M. W. Kaluta & DiTerlizzi"""
JasperSandner,"SELECT uuid FROM cards WHERE artist = ""Jasper Sandner"""
WilliamWu,"SELECT uuid FROM cards WHERE artist = ""William Wu"""
JeremyEnecio,"SELECT uuid FROM cards WHERE artist = ""Jeremy Enecio"""
BrynnMetheney,"SELECT uuid FROM cards WHERE artist = ""Brynn Metheney"""
GaoJianzhang,"SELECT uuid FROM cards WHERE artist = ""Gao Jianzhang"""
XuXiaoming,"SELECT uuid FROM cards WHERE artist = ""Xu Xiaoming"""
CraigMullins,"SELECT uuid FROM cards WHERE artist = ""Craig Mullins"""
EfremPalacios,"SELECT uuid FROM cards WHERE artist = ""Efrem Palacios"""
LarryMacDougall,"SELECT uuid FROM cards WHERE artist = ""Larry MacDougall"""
SunNan,"SELECT uuid FROM cards WHERE artist = ""Sun Nan"""
ZhangJiazhen,"SELECT uuid FROM cards WHERE artist = ""Zhang Jiazhen"""
GoranJosic,"SELECT uuid FROM cards WHERE artist = ""Goran Josic"""
PatLewis,"SELECT uuid FROM cards WHERE artist = ""Pat Lewis"""
KekaiKotaki,"SELECT uuid FROM cards WHERE artist = ""Kekai Kotaki"""
EricFortune,"SELECT uuid FROM cards WHERE artist = ""Eric Fortune"""
UlrichBrunin,"SELECT uuid FROM cards WHERE artist = ""Ulrich Brunin"""
EricVelhagen,"SELECT uuid FROM cards WHERE artist = ""Eric Velhagen"""
HenryGHigginbotham,"SELECT uuid FROM cards WHERE artist = ""Henry G. Higginbotham"""
WhitBrachna,"SELECT uuid FROM cards WHERE artist = ""Whit Brachna"""
AlisaLee,"SELECT uuid FROM cards WHERE artist = ""Alisa Lee"""
BrandonDorman,"SELECT uuid FROM cards WHERE artist = ""Brandon Dorman"""
ScottHampton,"SELECT uuid FROM cards WHERE artist = ""Scott Hampton"""
PaoloParenteBrianSnddy,"SELECT uuid FROM cards WHERE artist = ""Paolo Parente & Brian Snõddy"""
OmarRayyan,"SELECT uuid FROM cards WHERE artist = ""Omar Rayyan"""
TereseNielsenRonSpencer,"SELECT uuid FROM cards WHERE artist = ""Terese Nielsen & Ron Spencer"""
RonBrown,"SELECT uuid FROM cards WHERE artist = ""Ron Brown"""
CharlesUrbach,"SELECT uuid FROM cards WHERE artist = ""Charles Urbach"""
YWTang,"SELECT uuid FROM cards WHERE artist = ""YW Tang"""
JeffSimpson,"SELECT uuid FROM cards WHERE artist = ""Jeff Simpson"""
AnthonyJones,"SELECT uuid FROM cards WHERE artist = ""Anthony Jones"""
BramSels,"SELECT uuid FROM cards WHERE artist = ""Bram Sels"""
AlaynaDanner,"SELECT uuid FROM cards WHERE artist = ""Alayna Danner"""
McLeanKendree,"SELECT uuid FROM cards WHERE artist = ""McLean Kendree"""
RobhRuppel,"SELECT uuid FROM cards WHERE artist = ""Robh Ruppel"""
SimonDominic,"SELECT uuid FROM cards WHERE artist = ""Simon Dominic"""
TomaFeizoGas,"SELECT uuid FROM cards WHERE artist = ""Toma Feizo Gas"""
DimitarMarinski,"SELECT uuid FROM cards WHERE artist = ""Dimitar Marinski"""
RandisAlbion,"SELECT uuid FROM cards WHERE artist = ""Randis Albion"""
StantonFeng,"SELECT uuid FROM cards WHERE artist = ""Stanton Feng"""
JennRavenna,"SELECT uuid FROM cards WHERE artist = ""Jenn Ravenna"""
SteveEllis,"SELECT uuid FROM cards WHERE artist = ""Steve Ellis"""
AlexanderForssberg,"SELECT uuid FROM cards WHERE artist = ""Alexander Forssberg"""
KariJohnson,"SELECT uuid FROM cards WHERE artist = ""Kari Johnson"""
WisnuTan,"SELECT uuid FROM cards WHERE artist = ""Wisnu Tan"""
EkaterinaBurmak,"SELECT uuid FROM cards WHERE artist = ""Ekaterina Burmak"""
RudySiswanto,"SELECT uuid FROM cards WHERE artist = ""Rudy Siswanto"""
ForrestImel,"SELECT uuid FROM cards WHERE artist = ""Forrest Imel"""
GhostLee,"SELECT uuid FROM cards WHERE artist = ""G-host Lee"""
PiotrDura,"SELECT uuid FROM cards WHERE artist = ""Piotr Dura"""
TorsteinNordstrand,"SELECT uuid FROM cards WHERE artist = ""Torstein Nordstrand"""
SeanMurray,"SELECT uuid FROM cards WHERE artist = ""Sean Murray"""
JohanGrenier,"SELECT uuid FROM cards WHERE artist = ""Johan Grenier"""
AnnaPodedworna,"SELECT uuid FROM cards WHERE artist = ""Anna Podedworna"""
DarrenTan,"SELECT uuid FROM cards WHERE artist = ""Darren Tan"""
GrafitArt,"SELECT uuid FROM cards WHERE artist = ""GrafitArt"""
CristiBalanescu,"SELECT uuid FROM cards WHERE artist = ""Cristi Balanescu"""
TedGaladay,"SELECT uuid FROM cards WHERE artist = ""Ted Galaday"""
SeanSevestre,"SELECT uuid FROM cards WHERE artist = ""Sean Sevestre"""
HeonhwaChoe,"SELECT uuid FROM cards WHERE artist = ""Heonhwa Choe"""
KensukeOkabayashi,"SELECT uuid FROM cards WHERE artist = ""Kensuke Okabayashi"""
HiroIzawa,"SELECT uuid FROM cards WHERE artist = ""Hiro Izawa"""
PatLee,"SELECT uuid FROM cards WHERE artist = ""Pat Lee"""
KhangLe,"SELECT uuid FROM cards WHERE artist = ""Khang Le"""
MiaoAili,"SELECT uuid FROM cards WHERE artist = ""Miao Aili"""
SolomonAuYeung,"SELECT uuid FROM cards WHERE artist = ""Solomon Au Yeung"""
FredHarper,"SELECT uuid FROM cards WHERE artist = ""Fred Harper"""
Ironbrush,"SELECT uuid FROM cards WHERE artist = ""Ironbrush"""
YoniSkolnik,"SELECT uuid FROM cards WHERE artist = ""Yoni Skolnik"""
JamesKooi,"SELECT uuid FROM cards WHERE artist = ""James Kooi"""
DemitriosFeredinos,"SELECT uuid FROM cards WHERE artist = ""Demitrios Feredinos"""
AlliMedwin,"SELECT uuid FROM cards WHERE artist = ""Alli Medwin"""
AliciaMickes,"SELECT uuid FROM cards WHERE artist = ""Alicia Mickes"""
TaylorIngvarsson,"SELECT uuid FROM cards WHERE artist = ""Taylor Ingvarsson"""
MattTabak,"SELECT uuid FROM cards WHERE artist = ""Matt Tabak"""
AnnieSardelis,"SELECT uuid FROM cards WHERE artist = ""Annie Sardelis"""
TaliaArmatoHelle,"SELECT uuid FROM cards WHERE artist = ""Talia Armato-Helle"""
JoshThomas,"SELECT uuid FROM cards WHERE artist = ""Josh Thomas"""
MarshaRivera,"SELECT uuid FROM cards WHERE artist = ""Marsha Rivera"""
JamesArnold,"SELECT uuid FROM cards WHERE artist = ""James Arnold"""
IraHumphrey,"SELECT uuid FROM cards WHERE artist = ""Ira Humphrey"""
NathanIanGreene,"SELECT uuid FROM cards WHERE artist = ""Nathan Ian Greene"""
DaveGeyer,"SELECT uuid FROM cards WHERE artist = ""Dave Geyer"""
BonnieGabriel,"SELECT uuid FROM cards WHERE artist = ""Bonnie Gabriel"""
GlennJones,"SELECT uuid FROM cards WHERE artist = ""Glenn Jones"""
StephanieMitchell,"SELECT uuid FROM cards WHERE artist = ""Stephanie Mitchell"""
GeorgeFan,"SELECT uuid FROM cards WHERE artist = ""George Fan"""
SeanMayovsky,"SELECT uuid FROM cards WHERE artist = ""Sean Mayovsky"""
MattSmith,"SELECT uuid FROM cards WHERE artist = ""Matt Smith"""
MadisonMosley,"SELECT uuid FROM cards WHERE artist = ""Madison Mosley"""
JadeGranger,"SELECT uuid FROM cards WHERE artist = ""Jade Granger"""
JoeTorra,"SELECT uuid FROM cards WHERE artist = ""Joe Torra"""
RebeccaOn,"SELECT uuid FROM cards WHERE artist = ""Rebecca On"""
ChrisMooney,"SELECT uuid FROM cards WHERE artist = ""Chris Mooney"""
AaronForsythe,"SELECT uuid FROM cards WHERE artist = ""Aaron Forsythe"""
MarkPurvis,"SELECT uuid FROM cards WHERE artist = ""Mark Purvis"""
GavinVerhey,"SELECT uuid FROM cards WHERE artist = ""Gavin Verhey"""
EmilyTeng,"SELECT uuid FROM cards WHERE artist = ""Emily Teng"""
JacobNourigat,"SELECT uuid FROM cards WHERE artist = ""Jacob Nourigat"""
MarkHeggen,"SELECT uuid FROM cards WHERE artist = ""Mark Heggen"""
MaryJosberger,"SELECT uuid FROM cards WHERE artist = ""Mary Josberger"""
DanielHolt,"SELECT uuid FROM cards WHERE artist = ""Daniel Holt"""
MatthewGregory,"SELECT uuid FROM cards WHERE artist = ""Matthew Gregory"""
MaxMcCall,"SELECT uuid FROM cards WHERE artist = ""Max McCall"""
OvidioCartagena,"SELECT uuid FROM cards WHERE artist = ""Ovidio Cartagena"""
JiachenTao,"SELECT uuid FROM cards WHERE artist = ""Jiachen Tao"""
ChrisBellach,"SELECT uuid FROM cards WHERE artist = ""Chris Bellach"""
CaseyGustafson,"SELECT uuid FROM cards WHERE artist = ""Casey Gustafson"""
GraemeHopkins,"SELECT uuid FROM cards WHERE artist = ""Graeme Hopkins"""
ScottVanEssen,"SELECT uuid FROM cards WHERE artist = ""Scott Van Essen"""
BrandiReece,"SELECT uuid FROM cards WHERE artist = ""Brandi Reece"""
MikeDemaine,"SELECT uuid FROM cards WHERE artist = ""Mike Demaine"""
JohnPenick,"SELECT uuid FROM cards WHERE artist = ""John Penick"""
AaronReed,"SELECT uuid FROM cards WHERE artist = ""Aaron Reed"""
SydneyAdams,"SELECT uuid FROM cards WHERE artist = ""Sydney Adams"""
DaveHumpherys,"SELECT uuid FROM cards WHERE artist = ""Dave Humpherys"""
ZachFrancks,"SELECT uuid FROM cards WHERE artist = ""Zach Francks"""
TrickJarrett,"SELECT uuid FROM cards WHERE artist = ""Trick Jarrett"""
MaxxMarshall,"SELECT uuid FROM cards WHERE artist = ""Maxx Marshall"""
MarkPrice,"SELECT uuid FROM cards WHERE artist = ""Mark Price"""
NickSoutham,"SELECT uuid FROM cards WHERE artist = ""Nick Southam"""
ChristineLeeRisinger,"SELECT uuid FROM cards WHERE artist = ""Christine Lee Risinger"""
RachelTurian,"SELECT uuid FROM cards WHERE artist = ""Rachel Turian"""
KenNagle,"SELECT uuid FROM cards WHERE artist = ""Ken Nagle"""
MarkRosewater,"SELECT uuid FROM cards WHERE artist = ""Mark Rosewater"""
PeteWhite,"SELECT uuid FROM cards WHERE artist = ""Pete White"""
FranciscoMartin,"SELECT uuid FROM cards WHERE artist = ""Francisco Martin"""
MerisMullaley,"SELECT uuid FROM cards WHERE artist = ""Meris Mullaley"""
JamesRose,"SELECT uuid FROM cards WHERE artist = ""James Rose"""
RobertJSchuster,"SELECT uuid FROM cards WHERE artist = ""Robert J Schuster"""
KatieAllison,"SELECT uuid FROM cards WHERE artist = ""Katie Allison"""
AlisonLuhrs,"SELECT uuid FROM cards WHERE artist = ""Alison Luhrs"""
CoreyBowen,"SELECT uuid FROM cards WHERE artist = ""Corey Bowen"""
MelissaDeTora,"SELECT uuid FROM cards WHERE artist = ""Melissa DeTora"""
NatalyAnderson,"SELECT uuid FROM cards WHERE artist = ""Nataly Anderson"""
ChrisKiritz,"SELECT uuid FROM cards WHERE artist = ""Chris Kiritz"""
ChrisHaukap,"SELECT uuid FROM cards WHERE artist = ""Chris Haukap"""
LukasLitzsinger,"SELECT uuid FROM cards WHERE artist = ""Lukas Litzsinger"""
BrendanSell,"SELECT uuid FROM cards WHERE artist = ""Brendan Sell"""
DavidMcDarby,"SELECT uuid FROM cards WHERE artist = ""David McDarby"""
KevinYee,"SELECT uuid FROM cards WHERE artist = ""Kevin Yee"""
SethConley,"SELECT uuid FROM cards WHERE artist = ""Seth Conley"""
SarahKeortge,"SELECT uuid FROM cards WHERE artist = ""Sarah Keortge"""
DanielKetchum,"SELECT uuid FROM cards WHERE artist = ""Daniel Ketchum"""
MarkLGottlieb,"SELECT uuid FROM cards WHERE artist = ""Mark L. Gottlieb"""
MattWarren,"SELECT uuid FROM cards WHERE artist = ""Matt Warren"""
LeviParker,"SELECT uuid FROM cards WHERE artist = ""Levi Parker"""
JeffStewart,"SELECT uuid FROM cards WHERE artist = ""Jeff Stewart"""
JustinCornell,"SELECT uuid FROM cards WHERE artist = ""Justin Cornell"""
VictoriaCaa,"SELECT uuid FROM cards WHERE artist = ""Victoria Caña"""
JeffCarpenter,"SELECT uuid FROM cards WHERE artist = ""Jeff Carpenter"""
HanspeterZiegler,"SELECT uuid FROM cards WHERE artist = ""Hanspeter Ziegler"""
NelsonBrown,"SELECT uuid FROM cards WHERE artist = ""Nelson Brown"""
KellyMcBride,"SELECT uuid FROM cards WHERE artist = ""Kelly McBride"""
EmilyMaltby,"SELECT uuid FROM cards WHERE artist = ""Emily Maltby"""
TaraRueping,"SELECT uuid FROM cards WHERE artist = ""Tara Rueping"""
EthanFleischer,"SELECT uuid FROM cards WHERE artist = ""Ethan Fleischer"""
SamStoddard,"SELECT uuid FROM cards WHERE artist = ""Sam Stoddard"""
SteveSunu,"SELECT uuid FROM cards WHERE artist = ""Steve Sunu"""
RyanPrintz,"SELECT uuid FROM cards WHERE artist = ""Ryan Printz"""
ChrisClay,"SELECT uuid FROM cards WHERE artist = ""Chris Clay"""
MollieHarms,"SELECT uuid FROM cards WHERE artist = ""Mollie Harms"""
ChrisTulach,"SELECT uuid FROM cards WHERE artist = ""Chris Tulach"""
AriNieh,"SELECT uuid FROM cards WHERE artist = ""Ari Nieh"""
DamianTedrow,"SELECT uuid FROM cards WHERE artist = ""Damian Tedrow"""
LucyMeaden,"SELECT uuid FROM cards WHERE artist = ""Lucy Meaden"""
PatrickKuhlman,"SELECT uuid FROM cards WHERE artist = ""Patrick Kuhlman"""
TylerWright,"SELECT uuid FROM cards WHERE artist = ""Tyler Wright"""
BrittanyAustin,"SELECT uuid FROM cards WHERE artist = ""Brittany Austin"""
KellyHamilton,"SELECT uuid FROM cards WHERE artist = ""Kelly Hamilton"""
ChadKanotz,"SELECT uuid FROM cards WHERE artist = ""Chad Kanotz"""
EliShiffrin,"SELECT uuid FROM cards WHERE artist = ""Eli Shiffrin"""
CodyCulp,"SELECT uuid FROM cards WHERE artist = ""Cody Culp"""
NickBartoletti,"SELECT uuid FROM cards WHERE artist = ""Nick Bartoletti"""
EvanShipard,"SELECT uuid FROM cards WHERE artist = ""Evan Shipard"""
AdiGranov,"SELECT uuid FROM cards WHERE artist = ""Adi Granov"""
BrianHagan,"SELECT uuid FROM cards WHERE artist = ""Brian Hagan"""
JulieDillon,"SELECT uuid FROM cards WHERE artist = ""Julie Dillon"""
JohnDonahue,"SELECT uuid FROM cards WHERE artist = ""John Donahue"""
ArielOlivetti,"SELECT uuid FROM cards WHERE artist = ""Ariel Olivetti"""
JeffNentrup,"SELECT uuid FROM cards WHERE artist = ""Jeff Nentrup"""
YokotaKatsumi,"SELECT uuid FROM cards WHERE artist = ""Yokota Katsumi"""
RebekahLynn,"SELECT uuid FROM cards WHERE artist = ""Rebekah Lynn"""
RickEmond,"SELECT uuid FROM cards WHERE artist = ""Rick Emond"""
YoshinoHimori,"SELECT uuid FROM cards WHERE artist = ""Yoshino Himori"""
MichaelDanza,"SELECT uuid FROM cards WHERE artist = ""Michael Danza"""
JeffReitz,"SELECT uuid FROM cards WHERE artist = ""Jeff Reitz"""
AltonLawson,"SELECT uuid FROM cards WHERE artist = ""Alton Lawson"""
Lubov,"SELECT uuid FROM cards WHERE artist = ""Lubov"""
WilliamSimpson,"SELECT uuid FROM cards WHERE artist = ""William Simpson"""
JustinNorman,"SELECT uuid FROM cards WHERE artist = ""Justin Norman"""
KevinDobler,"SELECT uuid FROM cards WHERE artist = ""Kevin Dobler"""
MarkHarrison,"SELECT uuid FROM cards WHERE artist = ""Mark Harrison"""
MaciejKuciara,"SELECT uuid FROM cards WHERE artist = ""Maciej Kuciara"""
ThomasDenmark,"SELECT uuid FROM cards WHERE artist = ""Thomas Denmark"""
BenWootten,"SELECT uuid FROM cards WHERE artist = ""Ben Wootten"""
LiamSharp,"SELECT uuid FROM cards WHERE artist = ""Liam Sharp"""
FredHooper,"SELECT uuid FROM cards WHERE artist = ""Fred Hooper"""
JeremyJarvisWayneReynolds,"SELECT uuid FROM cards WHERE artist = ""Jeremy Jarvis & Wayne Reynolds"""
RonSpearsWayneReynolds,"SELECT uuid FROM cards WHERE artist = ""Ron Spears & Wayne Reynolds"""
NNThomasCatherineBuck,"SELECT uuid FROM cards WHERE artist = ""NéNé Thomas & Catherine Buck"""
XiaoDiJin,"SELECT uuid FROM cards WHERE artist = ""XiaoDi Jin"""
TylerWalpole,"SELECT uuid FROM cards WHERE artist = ""Tyler Walpole"""
RafSarmento,"SELECT uuid FROM cards WHERE artist = ""Raf Sarmento"""
AlexBrock,"SELECT uuid FROM cards WHERE artist = ""Alex Brock"""
MilaPesic,"SELECT uuid FROM cards WHERE artist = ""Mila Pesic"""
IrisCompiet,"SELECT uuid FROM cards WHERE artist = ""Iris Compiet"""
Milivojeran,"SELECT uuid FROM cards WHERE artist = ""Milivoj Ćeran"""
JeremyWilson,"SELECT uuid FROM cards WHERE artist = ""Jeremy Wilson"""
ChrisOstrowski,"SELECT uuid FROM cards WHERE artist = ""Chris Ostrowski"""
WylieBeckert,"SELECT uuid FROM cards WHERE artist = ""Wylie Beckert"""
PaulScottCanavan,"SELECT uuid FROM cards WHERE artist = ""Paul Scott Canavan"""
NicholasGregory,"SELECT uuid FROM cards WHERE artist = ""Nicholas Gregory"""
BenMaier,"SELECT uuid FROM cards WHERE artist = ""Ben Maier"""
ShawnWood,"SELECT uuid FROM cards WHERE artist = ""Shawn Wood"""
IrinaNordsol,"SELECT uuid FROM cards WHERE artist = ""Irina Nordsol"""
KimonasTheodossiou,"SELECT uuid FROM cards WHERE artist = ""Kimonas Theodossiou"""
MicahEpstein,"SELECT uuid FROM cards WHERE artist = ""Micah Epstein"""
JanaSchirmer,"SELECT uuid FROM cards WHERE artist = ""Jana Schirmer"""
MirandaMeeks,"SELECT uuid FROM cards WHERE artist = ""Miranda Meeks"""
MaddieJulyk,"SELECT uuid FROM cards WHERE artist = ""Maddie Julyk"""
EmrahElmasli,"SELECT uuid FROM cards WHERE artist = ""Emrah Elmasli"""
OlenaRichards,"SELECT uuid FROM cards WHERE artist = ""Olena Richards"""
KariChristensen,"SELECT uuid FROM cards WHERE artist = ""Kari Christensen"""
JoseCabrera,"SELECT uuid FROM cards WHERE artist = ""Jose Cabrera"""
JohnHoweLorywn,"SELECT uuid FROM cards WHERE artist = ""John Howe (Lorywn)"""
ScottAltmann,"SELECT uuid FROM cards WHERE artist = ""Scott Altmann"""
KevinMcCann,"SELECT uuid FROM cards WHERE artist = ""Kevin McCann"""
YefimKligerman,"SELECT uuid FROM cards WHERE artist = ""Yefim Kligerman"""
DavidSeguin,"SELECT uuid FROM cards WHERE artist = ""David Seguin"""
JamesKei,"SELECT uuid FROM cards WHERE artist = ""James Kei"""
DavidHudnut,"SELECT uuid FROM cards WHERE artist = ""David Hudnut"""
ChrisJAnderson,"SELECT uuid FROM cards WHERE artist = ""Chris J. Anderson"""
JustinMurray,"SELECT uuid FROM cards WHERE artist = ""Justin Murray"""
