mtgjson_set_code,mtgjson_name,mtgjson_link,mkm_set_name,mkm_web_name
M15,Magic 2015,https://mtgjson.com/v4/json/M15.json,Magic 2015,Magic+2015
ORI,Magic Origins,https://mtgjson.com/v4/json/ORI.json,Magic Origins,Magic+Origins
A25,Masters 25,https://mtgjson.com/v4/json/A25.json,Masters 25,Masters+25
MMQ,Mercadian Masques,https://mtgjson.com/v4/json/MMQ.json,Mercadian Masques,Mercadian+Masques
MIR,Mirage,https://mtgjson.com/v4/json/MIR.json,Mirage,Mirage
MRD,Mirrodin,https://mtgjson.com/v4/json/MRD.json,Mirrodin,Mirrodin
MBS,Mirrodin Besieged,https://mtgjson.com/v4/json/MBS.json,Mirrodin Besieged,Mirrodin+Besieged
MD1,Modern Event Deck 2014,https://mtgjson.com/v4/json/MD1.json,Modern Event Deck 2014,Modern+Event+Deck+2014
MMA,Modern Masters,https://mtgjson.com/v4/json/MMA.json,Modern Masters,Modern+Masters
MM2,Modern Masters 2015,https://mtgjson.com/v4/json/MM2.json,Modern Masters 2015,Modern+Masters+2015
MM3,Modern Masters 2017,https://mtgjson.com/v4/json/MM3.json,Modern Masters 2017,Modern+Masters+2017
MOR,Morningtide,https://mtgjson.com/v4/json/MOR.json,Morningtide,Morningtide
MGB,Multiverse Gift Box,https://mtgjson.com/v4/json/MGB.json,Multiverse Gift Box,Multiverse+Gift+Box
NPH,New Phyrexia,https://mtgjson.com/v4/json/NPH.json,New Phyrexia,New+Phyrexia
9ED,Ninth Edition,https://mtgjson.com/v4/json/9ED.json,Ninth Edition,Ninth+Edition
OGW,Oath of the Gatewatch,https://mtgjson.com/v4/json/OGW.json,Oath of the Gatewatch,Oath+of+the+Gatewatch
ODY,Odyssey,https://mtgjson.com/v4/json/ODY.json,Odyssey,Odyssey
ONS,Onslaught,https://mtgjson.com/v4/json/ONS.json,Onslaught,Onslaught
PLC,Planar Chaos,https://mtgjson.com/v4/json/PLC.json,Planar Chaos,Planar+Chaos
HOP,Planechase,https://mtgjson.com/v4/json/HOP.json,Planechase,Planechase
PC2,Planechase 2012,https://mtgjson.com/v4/json/PC2.json,Planechase 2012,Planechase+2012
PCA,Planechase Anthology,https://mtgjson.com/v4/json/PCA.json,Planechase Anthology,Planechase+Anthology
PLS,Planeshift,https://mtgjson.com/v4/json/PLS.json,Planeshift,Planeshift
POR,Portal,https://mtgjson.com/v4/json/POR.json,Portal,Portal
PTK,Portal Three Kingdoms,https://mtgjson.com/v4/json/PTK.json,Portal Three Kingdoms,Portal+Three+Kingdoms
PD2,Premium Deck Series: Fire and Lightning,https://mtgjson.com/v4/json/PD2.json,Premium Deck Series: Fire & Lightning,Premium+Deck+Series%3A+Fire+&+Lightning
PD3,Premium Deck Series: Graveborn,https://mtgjson.com/v4/json/PD3.json,Premium Deck Series: Graveborn,Premium+Deck+Series%3A+Graveborn
H09,Premium Deck Series: Slivers,https://mtgjson.com/v4/json/H09.json,Premium Deck Series: Slivers,Premium+Deck+Series%3A+Slivers
PCY,Prophecy,https://mtgjson.com/v4/json/PCY.json,Prophecy,Prophecy
RAV,Ravnica: City of Guilds,https://mtgjson.com/v4/json/RAV.json,Ravnica: City of Guilds,Ravnica%3A+City+of+Guilds
RTR,Return to Ravnica,https://mtgjson.com/v4/json/RTR.json,Return to Ravnica,Return+to+Ravnica
3ED,Revised Edition,https://mtgjson.com/v4/json/3ED.json,Revised,Revised
ROE,Rise of the Eldrazi,https://mtgjson.com/v4/json/ROE.json,Rise of the Eldrazi,Rise+of+the+Eldrazi
RIX,Rivals of Ixalan,https://mtgjson.com/v4/json/RIX.json,Rivals of Ixalan,Rivals+of+Ixalan
SOK,Saviors of Kamigawa,https://mtgjson.com/v4/json/SOK.json,Saviors of Kamigawa,Saviors+of+Kamigawa
SOM,Scars of Mirrodin,https://mtgjson.com/v4/json/SOM.json,Scars of Mirrodin,Scars+of+Mirrodin
SCG,Scourge,https://mtgjson.com/v4/json/SCG.json,Scourge,Scourge
7ED,Seventh Edition,https://mtgjson.com/v4/json/7ED.json,Seventh Edition,Seventh+Edition
SHM,Shadowmoor,https://mtgjson.com/v4/json/SHM.json,Shadowmoor,Shadowmoor
SOI,Shadows over Innistrad,https://mtgjson.com/v4/json/SOI.json,Shadows over Innistrad,Shadows+over+Innistrad
ALA,Shards of Alara,https://mtgjson.com/v4/json/ALA.json,Shards of Alara,Shards+of+Alara
SS1,Signature Spellbook: Jace,https://mtgjson.com/v4/json/SS1.json,Signature Spellbook: Jace,Signature+Spellbook%3A+Jace
6ED,Classic Sixth Edition,https://mtgjson.com/v4/json/6ED.json,Sixth Edition,Sixth+Edition
S99,Starter 1999,https://mtgjson.com/v4/json/S99.json,Starter 1999,Starter+1999
S00,Starter 2000,https://mtgjson.com/v4/json/S00.json,Starter 2000,Starter+2000
STH,Stronghold,https://mtgjson.com/v4/json/STH.json,Stronghold,Stronghold
PSUM,Summer of Magic,https://mtgjson.com/v4/json/PSUM.json,Summer Magic,Summer+Magic
TMP,Tempest,https://mtgjson.com/v4/json/TMP.json,Tempest,Tempest
10E,Tenth Edition,https://mtgjson.com/v4/json/10E.json,Tenth Edition,Tenth+Edition
DRK,The Dark,https://mtgjson.com/v4/json/DRK.json,The Dark,The+Dark
THS,Theros,https://mtgjson.com/v4/json/THS.json,Theros,Theros
TSP,Time Spiral,https://mtgjson.com/v4/json/TSP.json,Time Spiral,Time+Spiral
TOR,Torment,https://mtgjson.com/v4/json/TOR.json,Torment,Torment
UGL,Unglued,https://mtgjson.com/v4/json/UGL.json,Unglued,Unglued
UNH,Unhinged,https://mtgjson.com/v4/json/UNH.json,Unhinged,Unhinged
2ED,Unlimited Edition,https://mtgjson.com/v4/json/2ED.json,Unlimited,Unlimited
UST,Unstable,https://mtgjson.com/v4/json/UST.json,Unstable,Unstable
