,2019-04-28,2019-05-05,2019-05-12,2019-05-19,2019-05-26,2019-06-02,2019-06-09,2019-06-16,2019-06-23,2019-06-30,2019-07-07,2019-07-14,2019-07-21,2019-07-28,2019-04-28,2019-05-05,2019-05-12,2019-05-19,2019-05-26,2019-06-02,2019-06-09,2019-06-16,2019-06-23,2019-06-30,2019-07-07,2019-07-14,2019-07-21,2019-07-28
ajani,,-0.06120760959470639,0.0035242290748898064,0.0114135206321333,-0.0060763888888886175,0.011353711790392795,-0.0017271157167531026,-0.0025951557093424338,1.0568702762978561,-0.14815974941268595,-0.08880308880308874,-0.08050847457627075,-0.0501792114695343,-0.8382749326145553,3.6500000000000004,-0.06120760959470639,0.0035242290748898064,0.0114135206321333,-0.0060763888888886175,0.011353711790392795,-0.0017271157167531026,-0.0025951557093424338,1.0568702762978561,-0.14815974941268595,-0.08880308880308874,-0.08050847457627097,-0.05017921146953419,-0.8382749326145553
ally,,-0.3848026630748893,0.06053122322463578,0.008958273928334037,-0.011210287086973136,0.006025961652971423,-0.006842180027463174,-0.10324441583827948,0.0027912169705985868,-0.019245553110833313,-0.010027840095143348,-0.009501447059466095,0.017834500248084195,-0.9137692233291421,19.25798775153105,-0.3848026630748894,0.060531223224636,0.008958273928334037,-0.011210287086973136,0.006025961652971423,-0.006842180027463063,-0.1032444158382797,0.002791216970598809,-0.019245553110833313,-0.010027840095143348,-0.009501447059466095,0.017834500248084195,-0.9137692233291421
angel,,0.0077616836675504786,-0.0036889897843350727,-0.0056394189689553675,-0.010767889878223746,-0.025449225108751472,-0.011917842954949243,-0.01662389506700812,0.02006836988837657,-0.005350102980869131,-0.01370821093859198,-0.0060984257552121335,0.003710045662100203,0.2542401194199597,-0.1460141667828233,0.0077616836675504786,-0.0036889897843349617,-0.0056394189689553675,-0.010767889878223746,-0.025449225108751472,-0.011917842954949243,-0.01662389506700812,0.02006836988837657,-0.005350102980868909,-0.013708210938592202,-0.0060984257552121335,0.003710045662100203,0.2542401194199597
ape,,-0.026384457307698783,0.0013983080472632636,0.01068211966766719,0.015266648245371828,-0.007135391743826269,-0.0016711229946523298,0.0008704385671240988,0.008228525555257882,-0.0040475084599553846,0.003264490339773163,0.0026562188724350566,0.0025167229617857334,-0.5909691484442097,1.432521191141881,-0.02638445730769856,0.0013983080472630416,0.01068211966766719,0.015266648245371828,-0.007135391743826269,-0.0016711229946523298,0.0008704385671240988,0.008228525555257882,-0.004047508459955607,0.003264490339773385,0.0026562188724350566,0.0025167229617857334,-0.5909691484442097
arcane,,-0.004374453193351169,0.038201831467949976,-0.03875623663578032,0.01612753730651484,-0.01030739761014221,0.007741935483871032,-0.03740625571611533,0.004940617577197548,-0.016545334215750884,-0.016246875600846145,-0.014365288771621465,-0.008923259964306762,0.12334933973589446,-0.032994923857868175,-0.004374453193351058,0.038201831467949754,-0.03875623663578032,0.01612753730651506,-0.010307397610142432,0.007741935483871032,-0.03740625571611522,0.004940617577197548,-0.016545334215750995,-0.016246875600846145,-0.014365288771621465,-0.008923259964306762,0.12334933973589446
archer,,-0.0325178513469655,0.011636927851047751,-0.016104294478527792,0.013250194855806585,0.02384615384615385,0.017280240420736392,0.002954209748891934,0.010309278350515427,-0.016472303206996997,0.0021676300578032937,-0.0014419610670508565,0.1256317689530686,-0.39704939063502265,0.45370902817711367,-0.03251785134696539,0.01163692785104753,-0.016104294478527792,0.013250194855806585,0.02384615384615385,0.017280240420736392,0.002954209748892156,0.010309278350515427,-0.016472303206996997,0.0021676300578032937,-0.0014419610670510785,0.1256317689530686,-0.39704939063502265
archon,,-0.029900332225913484,0.013698630136986134,0.03716216216216206,0.02931596091205213,0.028481012658228222,0.036923076923076614,-0.008902077151335064,0.008982035928143395,-0.0029673590504449843,-0.0029761904761903546,0.0,0.03283582089552217,-0.2716763005780346,0.19444444444444442,-0.029900332225913595,0.013698630136986356,0.03716216216216206,0.02931596091205213,0.028481012658228,0.036923076923076836,-0.008902077151335175,0.008982035928143617,-0.0029673590504449843,-0.0029761904761904656,0.0,0.03283582089552217,-0.2716763005780346
arlinn,,-0.3285024154589372,0.021582733812949506,-0.005633802816901512,0.05382436260623247,-0.009408602150537626,0.008141112618724744,0.018842530282637604,0.00792602377807139,0.005242463958060162,0.007822685788787753,-0.010349288486416475,0.006535947712418055,-0.9415584415584416,22.000000000000004,-0.3285024154589372,0.021582733812949506,-0.005633802816901401,0.053824362606232246,-0.009408602150537626,0.008141112618724744,0.018842530282637826,0.00792602377807139,0.005242463958060162,0.007822685788787531,-0.010349288486416475,0.006535947712418055,-0.9415584415584416
army,,1.645833333333334,-0.05336832895888044,-0.09611829944547134,-0.04294478527607348,0.019230769230769384,-0.012578616352201144,-0.019108280254776955,-0.030303030303030276,-0.025669642857143127,-0.05956471935853347,-0.030450669914738215,-0.028894472361809198,-0.010702105139362539,-0.43509272467903026,1.645833333333334,-0.05336832895888055,-0.09611829944547123,-0.042944785276073705,0.019230769230769607,-0.012578616352201366,-0.019108280254776844,-0.030303030303030387,-0.025669642857143016,-0.05956471935853347,-0.030450669914738215,-0.028894472361809198,-0.010702105139362539
artificer,,-0.03409090909090928,0.0235294117647058,-0.011494252873563204,57.93410852713179,-0.1621177244327523,-0.09791993720565151,-0.09245159886882748,-0.01845637583892623,-0.023199023199023006,-0.051000000000000156,0.0798208640674396,-0.048548426445474635,0.0,-0.9729230769230769,-0.03409090909090917,0.0235294117647058,-0.011494252873563204,57.93410852713179,-0.1621177244327523,-0.0979199372056514,-0.09245159886882759,-0.01845637583892623,-0.023199023199023228,-0.050999999999999934,0.07982086406743938,-0.048548426445474524,0.0
